q_w,q_x,q_y,q_z,t,c
-0.571385,0.338888,-0.391564,0.636758,1555155705564127,3
-0.571385,0.338888,-0.391564,0.636758,1555155705565433,3
-0.571385,0.338888,-0.391564,0.636758,1555155705566775,3
-0.571385,0.338888,-0.391564,0.636758,1555155705568107,3
-0.571446,0.338888,-0.391442,0.636819,1555155705569445,3
-0.571446,0.338888,-0.391442,0.636819,1555155705570776,3
-0.571446,0.338888,-0.391442,0.636819,1555155705572082,3
-0.571446,0.338888,-0.391442,0.636819,1555155705573405,3
-0.571568,0.338888,-0.391198,0.636819,1555155705574752,3
-0.571568,0.338888,-0.391198,0.636819,1555155705576069,3
-0.571568,0.338888,-0.391198,0.636819,1555155705577399,3
-0.571568,0.338888,-0.391198,0.636819,1555155705578701,3
-0.571568,0.338888,-0.391198,0.636819,1555155705580051,3
-0.571629,0.338949,-0.390954,0.63688,1555155705581364,3
-0.571629,0.338949,-0.390954,0.63688,1555155705582681,3
-0.571629,0.338949,-0.390954,0.63688,1555155705584023,3
-0.571629,0.338949,-0.390954,0.63688,1555155705585350,3
-0.571629,0.338949,-0.390954,0.63688,1555155705586671,3
-0.571629,0.338644,-0.390283,0.63749,1555155705739278,4
-0.571629,0.338644,-0.390283,0.63749,1555155705740610,4
-0.571629,0.338644,-0.390283,0.63749,1555155705741949,4
-0.571629,0.338644,-0.390283,0.63749,1555155705743257,4
-0.571629,0.338522,-0.390161,0.637612,1555155705744622,4
-0.571629,0.338522,-0.390161,0.637612,1555155705745935,4
-0.571629,0.338522,-0.390161,0.637612,1555155705747296,4
-0.571629,0.338522,-0.390161,0.637612,1555155705748582,4
-0.571629,0.338522,-0.390161,0.637612,1555155705749917,4
-0.571751,0.338339,-0.389916,0.637734,1555155705751236,4
-0.571751,0.338339,-0.389916,0.637734,1555155705752546,4
-0.571751,0.338339,-0.389916,0.637734,1555155705753903,4
-0.571751,0.338339,-0.389916,0.637734,1555155705755231,4
-0.571751,0.338339,-0.389916,0.637734,1555155705756534,4
-0.572056,0.337789,-0.389184,0.638223,1555155705757867,4
-0.572056,0.337789,-0.389184,0.638223,1555155705759192,4
-0.572056,0.337789,-0.389184,0.638223,1555155705760528,4
-0.572056,0.337789,-0.389184,0.638223,1555155705761853,4
-0.572056,0.337789,-0.389184,0.638223,1555155705763203,4
-0.572178,0.337423,-0.388879,0.638467,1555155705764535,4
-0.572178,0.337423,-0.388879,0.638467,1555155705765864,4
-0.572178,0.337423,-0.388879,0.638467,1555155705767150,4
-0.572178,0.337423,-0.388879,0.638467,1555155705768476,4
-0.572301,0.337179,-0.388635,0.63865,1555155705769810,4
-0.572301,0.337179,-0.388635,0.63865,1555155705771180,4
-0.572301,0.337179,-0.388635,0.63865,1555155705772489,4
-0.572301,0.337179,-0.388635,0.63865,1555155705773798,4
-0.572423,0.336935,-0.38839,0.638833,1555155705775097,4
-0.572423,0.336935,-0.38839,0.638833,1555155705776451,4
-0.572423,0.336935,-0.38839,0.638833,1555155705777780,4
-0.572423,0.336935,-0.38839,0.638833,1555155705779109,4
-0.572423,0.336935,-0.38839,0.638833,1555155705780434,4
-0.572484,0.336752,-0.388146,0.639016,1555155705781774,4
-0.572484,0.336752,-0.388146,0.639016,1555155705783093,4
-0.572484,0.336752,-0.388146,0.639016,1555155705784430,4
-0.572484,0.336752,-0.388146,0.639016,1555155705785745,4
-0.572484,0.336752,-0.388146,0.639016,1555155705787069,4
-0.573094,0.335897,-0.386987,0.639626,1555155705939685,5
-0.573033,0.335958,-0.386987,0.639687,1555155705941019,5
-0.573033,0.335958,-0.386987,0.639687,1555155705942328,5
-0.573033,0.335958,-0.386987,0.639687,1555155705943659,5
-0.573033,0.335958,-0.386987,0.639687,1555155705944999,5
-0.573033,0.335958,-0.386987,0.639687,1555155705946320,5
-0.573033,0.335958,-0.386987,0.639687,1555155705947684,5
-0.573033,0.335958,-0.386987,0.639687,1555155705948974,5
-0.573033,0.335958,-0.386987,0.639687,1555155705950298,5
-0.573033,0.335958,-0.386987,0.639687,1555155705951643,5
-0.572972,0.335897,-0.387048,0.639687,1555155705952964,5
-0.572972,0.335897,-0.387048,0.639687,1555155705954270,5
-0.572972,0.335897,-0.387048,0.639687,1555155705955621,5
-0.572972,0.335897,-0.387048,0.639687,1555155705956965,5
-0.572972,0.335897,-0.387048,0.639687,1555155705958298,5
-0.572972,0.335897,-0.387048,0.639687,1555155705959634,5
-0.572972,0.335897,-0.387048,0.639687,1555155705960904,5
-0.572972,0.335897,-0.387048,0.639687,1555155705962275,5
-0.573033,0.335775,-0.387048,0.639749,1555155705963573,5
-0.573033,0.335775,-0.387048,0.639749,1555155705964918,5
-0.573033,0.335775,-0.387048,0.639749,1555155705966230,5
-0.573033,0.335775,-0.387048,0.639749,1555155705967581,5
-0.573033,0.335714,-0.386987,0.639749,1555155705968888,5
-0.573033,0.335714,-0.386987,0.639749,1555155705970251,5
-0.573033,0.335714,-0.386987,0.639749,1555155705971537,5
-0.573033,0.335714,-0.386987,0.639749,1555155705972885,5
-0.573033,0.335714,-0.386987,0.639749,1555155705974215,5
-0.573094,0.335592,-0.386864,0.639871,1555155705975534,5
-0.573094,0.335592,-0.386864,0.639871,1555155705976843,5
-0.573094,0.335592,-0.386864,0.639871,1555155705978187,5
-0.573094,0.335592,-0.386864,0.639871,1555155705979488,5
-0.573094,0.335592,-0.386864,0.639871,1555155705980864,5
-0.573094,0.335592,-0.386864,0.639871,1555155705982145,5
-0.573399,0.335164,-0.386193,0.640237,1555155705983492,5
-0.573399,0.335164,-0.386193,0.640237,1555155705984828,5
-0.573399,0.335164,-0.386193,0.640237,1555155705986181,5
-0.573399,0.335164,-0.386193,0.640237,1555155705987457,5
-0.574193,0.333455,-0.384057,0.641702,1555155706140075,6
-0.574193,0.333455,-0.384057,0.641702,1555155706141414,6
-0.574193,0.333394,-0.383935,0.641763,1555155706142739,6
-0.574193,0.333394,-0.383935,0.641763,1555155706144054,6
-0.574193,0.333394,-0.383935,0.641763,1555155706145381,6
-0.574254,0.333333,-0.383812,0.641824,1555155706146754,6
-0.574254,0.333333,-0.383812,0.641824,1555155706148061,6
-0.574254,0.333333,-0.383812,0.641824,1555155706149375,6
-0.574254,0.333333,-0.383812,0.641824,1555155706150740,6
-0.574254,0.333333,-0.383812,0.641824,1555155706152013,6
-0.574193,0.333211,-0.383812,0.641946,1555155706153360,6
-0.574193,0.333211,-0.383812,0.641946,1555155706154683,6
-0.574193,0.333211,-0.383812,0.641946,1555155706156015,6
-0.574193,0.333211,-0.383812,0.641946,1555155706157325,6
-0.574193,0.333211,-0.383812,0.641946,1555155706158656,6
