q_w,q_x,q_y,q_z,t
-0.63163,-0.15020465850830078,0.19302920997142792,0.7357508987188339,1555155746777163.0
-0.63163,-0.15024135261774063,0.19307813793420792,0.7357264310121536,1555155746778493.0
-0.6316299997270107,-0.1502780020236969,0.19312699884176254,0.7357020000000001,1555155746779821.0
-0.6316147968173027,-0.15030840784311295,0.1931726038455963,0.7357020000000001,1555155746781143.0
-0.6315994709730148,-0.1503390595316887,0.19321858882904053,0.7357020000000001,1555155746782476.0
-0.6315841637551785,-0.15036967396736145,0.19326449930667877,0.7357020000000001,1555155746783807.0
-0.6315689999610186,-0.15039999969303608,0.19331000000238419,0.735702000092715,1555155746785126.0
-0.6315674409270287,-0.1504046767950058,0.19331624452024698,0.7357004410587251,1555155746786438.0
-0.6313860006630421,-0.15094900131225586,0.19404299557209015,0.7355189993977547,1555155746939130.0
-0.6314060389995575,-0.1509890779852867,0.19412314891815186,0.7354785948991776,1555155746940419.0
-0.6314264051616192,-0.1510298103094101,0.19420459866523743,0.7354375347495079,1555155746941729.0
-0.6314470004290342,-0.1510709971189499,0.1942870020866394,0.7353959996253252,1555155746943054.0
-0.6314343325793743,-0.15112166851758957,0.19433767348527908,0.7353833317756653,1555155746944436.0
-0.63142254576087,-0.1511688157916069,0.19438482075929642,0.735371544957161,1555155746945722.0
-0.6314105186611414,-0.15121691673994064,0.19443292170763016,0.7353595178574324,1555155746947034.0
-0.6313982270658016,-0.15126609057188034,0.19448209553956985,0.7353472262620926,1555155746948375.0
-0.6313860006630421,-0.15131499990820885,0.19453099999999998,0.735334999859333,1555155746949709.0
-0.6313707120716572,-0.15133028477430344,0.19453099999999998,0.7353502884507179,1555155746951047.0
-0.631355918943882,-0.15134508162736893,0.19453099999999998,0.7353650815784931,1555155746952342.0
-0.631340503692627,-0.15136049315333366,0.19453099999999998,0.7353804968297482,1555155746953691.0
-0.631325,-0.151375999674201,0.19453100115060806,0.7353959996253252,1555155746955048.0
-0.631325,-0.15138768777251244,0.1945660635828972,0.7353843115270138,1555155746956313.0
-0.631325,-0.15140009298920631,0.19460327923297882,0.7353719063103199,1555155746957656.0
-0.631325,-0.15141229704022408,0.1946398913860321,0.7353597022593021,1555155746958977.0
-0.631325,-0.15142444521188736,0.19467633962631226,0.7353475540876389,1555155746960292.0
-0.631325,-0.15143699944019318,0.19471400044858456,0.7353350000000001,1555155746961651.0
-0.631325,-0.1514491531997919,0.19472596049308777,0.7353350000000001,1555155746962949.0
-0.631325,-0.15146165527403355,0.19473825953900814,0.7353350000000001,1555155746964284.0
-0.631325,-0.15147399716079235,0.19475040212273598,0.7353350000000001,1555155746965602.0
-0.631325,-0.1514863669872284,0.19476257264614105,0.7353350000000001,1555155746966923.0
-0.6313250008970499,-0.15149899944663048,0.19477500021457672,0.735334999859333,1555155746968272.0
-0.6313129495829344,-0.151511050760746,0.19479910284280777,0.7353229485452175,1555155746969581.0
-0.6313005313277245,-0.15152347087860107,0.1948239430785179,0.7353105284273624,1555155746970930.0
-0.6312882043421268,-0.15153579786419868,0.19484859704971313,0.7352982014417648,1555155746972269.0
-0.6312761250883341,-0.1515478752553463,0.19487275183200836,0.7352861240506172,1555155746973581.0
-0.631264,-0.15155999921262264,0.19489699974656105,0.735274,1555155746974898.0
-0.631264,-0.15157207660377026,0.19490907713770866,0.735274,1555155746976208.0
-0.631264,-0.15158442221581936,0.19492142274975777,0.735274,1555155746977547.0
-0.631264,-0.15159696154296398,0.1949339620769024,0.735274,1555155746978907.0
-0.631264,-0.15160908550024033,0.19494608789682388,0.735274,1555155746980222.0
-0.6312640011310577,-0.1516209989786148,0.194958,0.7352739982306957,1555155746981514.0
-0.6312483474612236,-0.15163665264844894,0.194958,0.7352896519005299,1555155746982883.0
-0.6312330961227417,-0.15165190398693085,0.194958,0.7353049032390118,1555155746984217.0
-0.6312182880938053,-0.15166671201586723,0.194958,0.7353197112679482,1555155746985512.0
-0.631203,-0.15168199999999998,0.194958,0.7353350000000001,1555155746986849.0
-0.6308979988098145,-0.15253600105643272,0.196484,0.7350299991667271,1555155747139441.0
-0.6308728232979774,-0.15256117656826973,0.196484,0.7350425869226456,1555155747140818.0
-0.6308493092656136,-0.15258468687534332,0.196484,0.7350543420761824,1555155747142104.0
-0.6308249235153198,-0.15260907635092735,0.196484,0.7350665368139744,1555155747143438.0
-0.6308005154132843,-0.15263348445296288,0.196484,0.7350787408649921,1555155747144773.0
-0.6307759992778301,-0.15265800058841705,0.19648399949073792,0.7350910007953644,1555155747146114.0
-0.6307914517819881,-0.15267345681786537,0.19653036445379257,0.7350600957870483,1555155747147454.0
-0.630806528031826,-0.15268852934241295,0.1965755894780159,0.7350299432873726,1555155747148761.0
-0.6308217868208885,-0.15270378813147545,0.1966213658452034,0.7349994257092476,1555155747150084.0
-0.6308370009064674,-0.15271899849176407,0.19666700065135956,0.734969,1555155747151403.0
-0.6308216601610184,-0.15273433923721313,0.19668234139680862,0.734969,1555155747152742.0
-0.6308065019547939,-0.15274949744343758,0.19669749960303307,0.734969,1555155747154065.0
-0.6307913437485695,-0.15276465564966202,0.1967126578092575,0.734969,1555155747155388.0
-0.630776,-0.15277999639511108,0.19672799855470657,0.73496900126338,1555155747156727.0
-0.630776,-0.15281034260988235,0.19677351415157318,0.7349538281559944,1555155747158044.0
-0.630776,-0.15284183621406555,0.19682075828313828,0.7349380776286125,1555155747159411.0
-0.630776,-0.15287158638238907,0.19686537981033325,0.7349232062697411,1555155747160702.0
-0.630776,-0.1529019996523857,0.19691099971532822,0.7349079996347427,1555155747162022.0
-0.630776,-0.1529332548379898,0.1969425156712532,0.7348923720419407,1555155747163386.0
-0.630776,-0.15296320617198944,0.19697271287441254,0.7348773963749409,1555155747164693.0
-0.630776,-0.15299414098262787,0.19700390100479126,0.7348619289696217,1555155747166043.0
-0.6307759992778301,-0.15302400290966034,0.19703400135040283,0.7348469998687506,1555155747167346.0
-0.6307639051228762,-0.15306048840284348,0.19707028567790985,0.7348349057137966,1555155747168657.0
-0.630751708522439,-0.15309727936983109,0.19710687547922134,0.7348227091133595,1555155747169979.0
-0.6307389680296183,-0.15313570946455002,0.19714509695768356,0.7348099686205387,1555155747171360.0
-0.6307270489633083,-0.15317165851593018,0.1971808597445488,0.7347980495542288,1555155747172652.0
-0.630714999511838,-0.15320800244808197,0.19721700251102448,0.7347860001027584,1555155747173958.0
-0.6307026483118534,-0.15324505418539047,0.19726640731096268,0.7347736470401287,1555155747175306.0
-0.6306904051452875,-0.1532817855477333,0.19731537997722626,0.734761405736208,1555155747176642.0
-0.6306782923638821,-0.1533181220293045,0.19736383110284805,0.7347492910921574,1555155747177964.0
-0.6306661404669285,-0.15335457772016525,0.19741243869066238,0.7347371410578489,1555155747179290.0
-0.6306539997458458,-0.1533910036087036,0.19746099412441254,0.734725,1555155747180615.0
-0.6306231245398521,-0.15345275402069092,0.19752274453639984,0.734725,1555155747181948.0
-0.6305927783250809,-0.15351344645023346,0.19758343696594238,0.734725,1555155747183258.0
-0.6305621564388275,-0.15357467532157898,0.1976446658372879,0.734725,1555155747184580.0
-0.630532,-0.153635,0.197705,0.734725,1555155747185882.0
-0.630104,-0.155039,0.199475,0.734298,1555155747338531.0
-0.6301650032401085,-0.15522199869155884,0.19971900060772896,0.7341760005801916,1555155747339845.0
-0.6301281601190567,-0.1552465632557869,0.19974356517195702,0.7341882828623056,1555155747341177.0
-0.6300897151231766,-0.1552721932530403,0.19976919516921043,0.7342010978609324,1555155747342567.0
-0.6300545558333397,-0.15529563277959824,0.19979263469576836,0.7342128176242113,1555155747343838.0
-0.6300184354186058,-0.1553197130560875,0.19981671497225761,0.7342248577624559,1555155747345144.0
-0.6299819983541965,-0.15534400194883347,0.1998409926891327,0.7342370003461838,1555155747346461.0
-0.6299972869455814,-0.15538986772298813,0.19991743564605713,0.734206423163414,1555155747347804.0
-0.6300126016139984,-0.15543580800294876,0.1999940127134323,0.7341758012771606,1555155747349149.0
-0.6300277411937714,-0.1554812341928482,0.20006971061229706,0.7341455146670341,1555155747350479.0
-0.6300429999828339,-0.1555270031094551,0.20014600455760956,0.7341150008141994,1555155747351819.0
