angv_x,angv_y,angv_z,lina_x,lina_y,lina_z
4.125,-0.6875,-1.0625,0.02,-0.29,0.36
4.125,-0.6875,-1.0625,-0.06,0.16,-0.2
4.125,-0.6875,-1.0625,-0.06,0.16,-0.2
4.125,-0.6875,-1.0625,-0.06,0.16,-0.2
4.125,-0.6875,-1.0625,-0.06,0.16,-0.2
2.6875,-0.3125,0.375,-0.02,0.31,0.04
1.5,0.0625,-0.9375,-0.02,0.31,0.04
1.5,0.0625,-0.9375,-0.17,0.14,0.02
1.5,0.0625,-0.9375,-0.17,0.14,0.02
1.5,0.0625,-0.9375,-0.17,0.14,0.02
1.5,0.0625,-0.9375,-0.17,0.14,0.02
1.5,0.0625,-0.9375,0.08,0,-0.02
1.5,0.0625,-0.9375,0.08,0,-0.02
1.5,0.0625,-0.9375,0.08,0,-0.02
1.5,-0.1875,0.1875,0.08,0,-0.02
1.5,-0.1875,0.1875,-0.16,-0.07,-0.04
1.5,-0.1875,0.1875,-0.16,-0.07,-0.04
1.5,-0.1875,0.1875,-0.16,-0.07,-0.04
1.5,-0.1875,0.1875,-0.16,-0.07,-0.04
1.1875,-0.25,-0.4375,-0.16,-0.07,-0.04
1.1875,-0.25,-0.4375,0.09,-0.03,-0.05
1.1875,-0.25,-0.4375,0.09,-0.03,-0.05
1.1875,-0.25,-0.4375,0.09,-0.03,-0.05
1.5,1.125,-0.625,0.09,-0.03,-0.05
1.5,1.125,-0.625,0.09,-0.03,-0.05
1.5,1.125,-0.625,-0.12,0.21,0.05
1.5,1.125,-0.625,-0.12,0.21,0.05
1.5,1.125,-0.625,-0.12,0.21,0.05
1.125,0.25,-0.875,-0.12,0.21,0.05
1.125,0.25,-0.875,0.05,0.13,0.07
1.125,0.25,-0.875,0.05,0.13,0.07
1.125,0.25,-0.875,0.05,0.13,0.07
1.375,0.8125,-0.625,0.05,0.13,0.07
1.375,0.8125,-0.625,-0.19,0.11,0.02
1.375,0.8125,-0.625,-0.19,0.11,0.02
1.375,0.8125,-0.625,-0.19,0.11,0.02
0.9375,0.25,-1.4375,-0.1,-0.06,-0.07
0.9375,0.25,-1.4375,-0.1,-0.06,-0.07
0.9375,0.25,-1.4375,-0.1,-0.06,-0.07
0.9375,0.25,-1.4375,-0.1,-0.06,-0.07
1.4375,0.1875,-0.0625,-0.1,-0.06,-0.07
4.25,0.1875,-1.8125,-0.01,0.16,-0.02
4.9375,-0.1875,-0.25,-0.01,0.16,-0.02
4.9375,-0.1875,-0.25,-0.07,0.02,0.05
4.9375,-0.1875,-0.25,-0.07,0.02,0.05
3.9375,-0.0625,-1.6875,-0.07,0.02,0.05
3.9375,-0.0625,-1.6875,-0.07,0.02,0.05
3.9375,-0.0625,-1.6875,0.04,0.24,0.02
3.9375,-0.0625,-1.6875,0.04,0.24,0.02
3.8125,-0.75,-0.125,0.04,0.24,0.02
3.8125,-0.75,-0.125,0.04,0.24,0.02
3.8125,-0.75,-0.125,-0.13,0.15,-0.06
3.8125,-0.75,-0.125,-0.13,0.15,-0.06
3.8125,-0.75,-0.125,-0.13,0.15,-0.06
3.125,-0.125,-0.8125,-0.13,0.15,-0.06
3.125,-0.125,-0.8125,0.14,0.01,-0.05
3.125,-0.125,-0.8125,0.14,0.01,-0.05
3.125,-0.125,-0.8125,0.14,0.01,-0.05
2.6875,-0.4375,-0.0625,0.14,0.01,-0.05
2.6875,-0.4375,-0.0625,-0.14,-0.01,0.06
